time,rayId,X,Y,Z,intensity
1.50964,3,0,0,0,0
1.50964,4,0,0,0,0
1.50964,5,0,0,0,0
1.50964,6,8.48683,-0.222235,-0.37067,0.012121
1.50964,7,15.6719,-0.410383,-0.410523,0.00656792
1.50964,8,101.659,-2.66202,-0.887465,0.00101283
1.50964,9,0,0,0,0
1.50964,10,0,0,0,0
1.50964,11,0,0,0,0
1.50964,12,8.48976,-0.074089,-0.370685,0.0121205
1.50964,13,15.6778,-0.136818,-0.410554,0.00656743
1.50964,14,101.739,-0.887865,-0.887899,0.00101234
1.50964,15,0,0,0,0
1.50964,16,0,0,0,0
1.50964,17,0,0,0,0
1.50964,18,8.48973,0.0740888,-0.370684,0.0121206
1.50964,19,15.6777,0.136817,-0.410551,0.00656747
1.50964,20,88.2867,0.770466,-0.770496,0.206088
1.50964,21,0,0,0,0
1.50964,22,0,0,0,0
1.50964,23,0,0,0,0
1.50964,24,8.48674,0.222233,-0.370666,0.0121211
1.50964,25,15.6716,0.410375,-0.410515,0.00656805
1.50964,26,101.646,2.66168,-0.887352,0.00101296
1.50964,27,0,0,0,0
1.50964,28,0,0,0,0
1.50964,29,0,0,0,0
1.50964,30,8.48078,0.370279,-0.370632,0.0121223
1.50964,31,15.6594,0.683702,-0.410445,0.00656917
1.50964,32,101.472,4.43035,-0.886373,0.00101408
1.50964,33,0,0,0,0
1.50964,34,0,0,0,0
1.50964,35,0,0,0,0
1.6001,0,8.51502,-0.371774,-0.372128,0.0120863
1.6001,1,15.7622,-0.688194,-0.413142,0.00653319
1.6001,2,105.316,-4.5982,-0.919955,0.000978095
1.6001,3,0,0,0,0
1.6001,4,0,0,0,0
1.6001,5,0,0,0,0
1.6001,6,8.52095,-0.223129,-0.37216,0.0120853
1.6001,7,15.7744,-0.413067,-0.413208,0.00653215
1.6001,8,105.493,-2.76243,-0.920938,0.000977051
1.6001,9,0,0,0,0
1.6001,10,0,0,0,0
1.6001,11,0,0,0,0
1.6001,12,8.52389,-0.0743869,-0.372175,0.0120848
1.6001,13,15.7804,-0.137713,-0.41324,0.00653165
1.6001,14,105.579,-0.921371,-0.921406,0.000976556
1.6001,15,0,0,0,0
1.6001,16,0,0,0,0
1.6001,17,0,0,0,0
1.6001,18,8.52385,0.0743866,-0.372174,0.0120848
1.6001,19,15.7803,0.137712,-0.413236,0.00653171
1.6001,20,88.0858,0.768713,-0.768743,0.206115
1.6001,21,0,0,0,0
1.6001,22,0,0,0,0
1.6001,23,0,0,0,0
1.6001,24,8.52083,0.223126,-0.372155,0.0120854
1.6001,25,15.774,0.413057,-0.413198,0.00653231
1.6001,26,105.476,2.76198,-0.920788,0.00097721
1.6001,27,0,0,0,0
1.6001,28,0,0,0,0
1.6001,29,0,0,0,0
1.6001,30,8.51483,0.371765,-0.37212,0.0120866
1.6001,31,15.7616,0.688167,-0.413125,0.00653346
1.6001,32,105.288,4.59695,-0.919706,0.000978361
1.6001,33,0,0,0,0
1.6001,34,0,0,0,0
1.6001,35,0,0,0,0
1.70024,0,8.54742,-0.373188,-0.373544,0.0120524
1.70024,1,15.8602,-0.692471,-0.41571,0.00649927
1.70024,2,109.209,-4.76816,-0.953959,0.000944165
1.70024,3,0,0,0,0
1.70024,4,0,0,0,0
1.70024,5,0,0,0,0
1.70024,6,8.55338,-0.223978,-0.373577,0.0120513
1.70024,7,15.8724,-0.415634,-0.415777,0.00649822
1.70024,8,109.397,-2.86467,-0.955023,0.000943113
1.70024,9,0,0,0,0
1.70024,10,0,0,0,0
1.70024,11,0,0,0,0
1.70024,12,8.55633,-0.0746699,-0.373592,0.0120509
1.70024,13,15.8785,-0.138569,-0.415808,0.00649772
1.70024,14,109.488,-0.955487,-0.955523,0.000942619
1.70024,15,0,0,0,0
1.70024,16,0,0,0,0
1.70024,17,0,0,0,0
